P P continuumKontinuum (sixteenSechszehn) dimensionsDimensionen, dimensionalDimensionales multiverseMultiversum, „enhancedErweiterte metaMeta phyicsPhysik“ sixteenSechzehn hexadecadegramHexadekadegramm P P afterNach metaMeta physicsPhysik fifeteenFuenfzehn O O pentadecadegramPentadekadegramm;
inputEingabe processingVerarbeitung outputAusgabe, firstErste spaceRaum roomRaum dimensionDimension, firstErstes elementElement isIst waterWasser, metaMeta physicsPhysik particleTeilchen ofDer enhancedErweiterten metaMeta physicsPhysik P P insteadStatt ofVon O O isIst theDie processingProzessverarbeitung fromAus inputEingabe thenDann processingVerarbeitung thenDann outputAusgabe;1
PlaneFlaeche twoZwei dimensionalDimensional, mathematicalMathematische objectsObjekte (areSind actuallyEigentlich universalUniverselle objectsObjekte basedBasiert onAuf loopsSchleifen repetitionsWiederholungen realEchte mathematicalMathematischen objectsObjekte basedBasiert ontoAuf oneEin logicsLogik predicatePraedikat), awarenessBewusstheit (notNicht yetBereits consciousnessBewusstsein onlyNur awarenessBewusstheit), secondZweite spaceRaum roomRaum dimensionDimension, secondZweites elementElement isIst airLuft;2
matterMaterie, thirdDritte spaceRaum roomRaum dimensionDimension, thirdDrittes elementElement earthErde groundErde foundationGrundlage;3
energyEnergie, dimensionDimension ofDer timeZeit changeAenderung isIst fourthVierte dimensionDimension, fourthViertes elementElement isIst fireFeuer;4
UniverseUniversum areSind basicallyGrundsaetzlich physicsPhysik lawsGesetze (streetStrassen) justiceRecht andUnd generallAllgemeine generalizableVerallgemeinerte natureNatur lawsGesetze alsoAuch insideInnerhalb biologyBiologie, aetherÄther isIst fifethFuenfte dimensionDimension (ofDes multiverseMultiversums andUnd fifethFuenftes elementElement isISt quintQuint essenceEssenz;5
HumanitiesGeisteswissenschaftlicher brainGehirn nerviousNerven systemSystem mindGeist psychologicalPsychologischer mentalGeistiger spiritualGeistiger cosmosKosmos mindGeist notNicht universeUniversum butAber cosmosKosmos likeWie emotionsEmotionen feelingsGefuehle;6
communicationKommunikation;7
metaMeta-physicsPhysik retaReta (religionsReligionen tableTabelle) commandKommando lineZeilen applicationProgramm pypyPypy ThreeDrei andUnd religionsReligionen tableTabelle htmlHtml typescriptTypescript andUnd ReligionReligion tenZehn textsTexte ofVon (sithSith) (LordLord) traceTrace jupiterJupiter threeDrei dotPunkt zeroNull (germaniumGermanium lifeLebens formsFormen diplomaticDiplomatischer ambassadorBotschafter protoProto moleculeMolekuel thirtytwoZweiunddreissig protonsProtonen coreKern atomicAtom elementElement);8
TrancezendenceTranszendenz (notNicht ImanuelImanuel KantsKants trancedendentalTranszendental andUnd alsoAuch notNicht artificialKuenstliche computerRechner intelligenceIntelligenz) brainGehin mindGeist internetInternet asWie alsoAuch telepathyTelepathie ofDer betaBeta zoidsZoiden etcUsw someEinige psiPsi forcesKraefte (psilonsPsilons antikerAntiker asgradAsgard greysGraue extraterristrialsAusserirdische);9
StructureStruktur scienceWissenschaft asWie mathematicsMathematik (planetsPlaneten lawGesetz) (tenZehn J J decagramDekagramm againWieder), cyberneticsKybernetik (twelveZwoelf dodecadegramDodegramm L L borgBorg collectiveKollektiv cyborgsCyborgs), systemSystem theoryTheorie (K K hendegramHendegramm elvenElf robotsRoboter androidsAndroiden), calculatingRechnen (eightAcht H octagramOktagramm AbacusAbakus calculatorRechner ), enumeratingAufzaehlen iteratingIterieren incrementingInkrementieren (sixSechs hexagramHexagramm F F );10
